Working Hours,0.26329326447351381
Minutes Sedentary,0.042574148648672164
BMI,0.041134674368356904
Floors,0.041043133961258783
Steps,0.03942482749771261
Minutes Lightly Active,0.036466331803820674
max,0.03541648660742705
Calories Burned,0.035307676414560139
Stress Level,0.035196696091084799
Number of Awakenings,0.035134873538062182
calories,0.034012442877886233
Time in Bed,0.033812095301802715
Activity Calories,0.033651351788202652
Minutes Asleep,0.033118662268016963
Minutes Very Active,0.031242584298051389
minutes,0.030710531163937464
Minutes Fairly Active,0.029441951131791808
avg_bpm,0.029437391896534718
Other,0.029282575327142048
min,0.027023163995315402
activity,0.027008766842226882
Distance,0.018938218196165812
Minutes Awake,0.014934399494889774
Fatburn,0.014909448502343341
resting heart rate,0.0038850353489812959
Cardio,0.0035992681622423858
